,feature,importance
39,value__c3__lag_2,0.0012730957792044582
148,"value__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",0.001270300921857667
415,"value__fft_coefficient__attr_""imag""__coeff_86",0.001260934504327053
612,"value__fft_coefficient__attr_""angle""__coeff_84",0.0012512663657163674
329,"value__fft_coefficient__attr_""real""__coeff_99",0.0011771801563507348
493,"value__fft_coefficient__attr_""abs""__coeff_64",0.00117489729007304
25,value__percentage_of_reoccurring_values_to_all_values,0.0011638815667660823
684,value__lempel_ziv_complexity__bins_5,0.0011487355760437497
560,"value__fft_coefficient__attr_""angle""__coeff_32",0.0011305784560230814
584,"value__fft_coefficient__attr_""angle""__coeff_56",0.000939272974378926
112,"value__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)",0.0009264488177305857
287,"value__fft_coefficient__attr_""real""__coeff_57",0.0009169375453291352
462,"value__fft_coefficient__attr_""abs""__coeff_33",0.0009130089712964155
674,value__energy_ratio_by_chunks__num_segments_10__segment_focus_8,0.0008730243727043661
67,value__large_standard_deviation__r_0.30000000000000004,0.0008597505532624297
153,"value__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",0.0008537158794176702
457,"value__fft_coefficient__attr_""abs""__coeff_28",0.0008412119897870992
308,"value__fft_coefficient__attr_""real""__coeff_78",0.0008295283002724022
189,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.0008248790012540792
321,"value__fft_coefficient__attr_""real""__coeff_91",0.0008072196551392256
482,"value__fft_coefficient__attr_""abs""__coeff_53",0.000800304072012868
113,"value__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)",0.0007881815869581755
166,value__ar_coefficient__coeff_7__k_10,0.0007851331730240697
456,"value__fft_coefficient__attr_""abs""__coeff_27",0.0007701596139270061
322,"value__fft_coefficient__attr_""real""__coeff_92",0.000762441446335372
227,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.0007614062772363172
4,value__abs_energy,0.0007087793919905416
671,value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.0006959401763219883
575,"value__fft_coefficient__attr_""angle""__coeff_47",0.0006827906606507215
590,"value__fft_coefficient__attr_""angle""__coeff_62",0.000675859411839177
551,"value__fft_coefficient__attr_""angle""__coeff_23",0.0006752745594182513
